gisjoin,name_dp,var_code,dp,name_sf,sf
G53000100,Aberdeen city,IFC001,7338,Aberdeen city,7338
G53000135,Aberdeen Gardens CDP,IFC001,122,Aberdeen Gardens CDP,122
G53000275,Acme CDP,IFC001,109,Acme CDP,109
G53000380,Addy CDP,IFC001,111,Addy CDP,111
G53000800,Ahtanum CDP,IFC001,1383,Ahtanum CDP,1383
G53000905,Airway Heights city,IFC001,1727,Airway Heights city,1727
G53001010,Albion town,IFC001,302,Albion town,302
G53001045,Alder CDP,IFC001,105,Alder CDP,105
G53001150,Alderton CDP,IFC001,1160,Alderton CDP,1160
G53001185,Alderwood Manor CDP,IFC001,3206,Alderwood Manor CDP,3206
G53001255,Alger CDP,IFC001,176,Alger CDP,176
G53001290,Algona city,IFC001,1018,Algona city,1018
G53001430,Allyn CDP,IFC001,1001,Allyn CDP,1001
G53001500,Almira town,IFC001,155,Almira town,155
G53001745,Altoona CDP,IFC001,34,Altoona CDP,34
G53001780,Amanda Park CDP,IFC001,109,Amanda Park CDP,109
G53001850,Amboy CDP,IFC001,569,Amboy CDP,569
G53001920,Ames Lake CDP,IFC001,590,Ames Lake CDP,590
G53001990,Anacortes city,IFC001,7680,Anacortes city,7680
G53002060,Anderson Island CDP,IFC001,1025,Anderson Island CDP,1025
G53002585,Arlington city,IFC001,6929,Arlington city,6929
G53002620,Arlington Heights CDP,IFC001,832,Arlington Heights CDP,832
G53002910,Artondale CDP,IFC001,4944,Artondale CDP,4944
G53003005,Ashford CDP,IFC001,181,Ashford CDP,181
G53003075,Asotin city,IFC001,537,Asotin city,537
G53003180,Auburn city,IFC001,27834,Auburn city,27834
G53003736,Bainbridge Island city,IFC001,10584,Bainbridge Island city,10584
G53004100,Bangor Base CDP,IFC001,1281,Bangor Base CDP,1281
G53004125,Banks Lake South CDP,IFC001,106,Banks Lake South CDP,106
G53004195,Barberton CDP,IFC001,2086,Barberton CDP,2086
G53004300,Baring CDP,IFC001,254,Baring CDP,254
G53004347,Barney's Junction CDP,IFC001,66,Barney's Junction CDP,66
G53004370,Barstow CDP,IFC001,42,Barstow CDP,42
G53004405,Basin City CDP,IFC001,237,Basin City CDP,237
G53004475,Battle Ground city,IFC001,5952,Battle Ground city,5952
G53004615,Bay Center CDP,IFC001,186,Bay Center CDP,186
G53004790,Bay View CDP,IFC001,327,Bay View CDP,327
G53004895,Beaux Arts Village town,IFC001,118,Beaux Arts Village town,118
G53005140,Belfair CDP,IFC001,1634,Belfair CDP,1634
G53005210,Bellevue city,IFC001,55551,Bellevue city,55551
G53005245,Bell Hill CDP,IFC001,447,Bell Hill CDP,447
G53005280,Bellingham city,IFC001,36760,Bellingham city,36760
G53005560,Benton City city,IFC001,1162,Benton City city,1162
G53005735,Bethel CDP,IFC001,1450,Bethel CDP,1450
G53005980,Bickleton CDP,IFC001,51,Bickleton CDP,51
G53006050,Big Lake CDP,IFC001,858,Big Lake CDP,858
G53006085,Bingen city,IFC001,313,Bingen city,313
G53006190,Birch Bay CDP,IFC001,5411,Birch Bay CDP,5411
G53006330,Black Diamond city,IFC001,1685,Black Diamond city,1685
G53006505,Blaine city,IFC001,2346,Blaine city,2346
G53006855,Blyn CDP,IFC001,52,Blyn CDP,52
G53007170,Bonney Lake city,IFC001,6394,Bonney Lake city,6394
G53007380,Bothell city,IFC001,14255,Bothell city,14255
G53007390,Bothell East CDP,IFC001,3139,Bothell East CDP,3139
G53007395,Bothell West CDP,IFC001,6417,Bothell West CDP,6417
G53007397,Boulevard Park CDP,IFC001,2262,Boulevard Park CDP,2262
G53007485,Boyds CDP,IFC001,16,Boyds CDP,16
G53007590,Brady CDP,IFC001,279,Brady CDP,279
G53007695,Bremerton city,IFC001,17273,Bremerton city,17273
G53007835,Brewster city,IFC001,730,Brewster city,730
G53007870,Bridgeport city,IFC001,745,Bridgeport city,745
G53007940,Brier city,IFC001,2220,Brier city,2220
G53008080,Brinnon CDP,IFC001,1060,Brinnon CDP,1060
G53008335,Browns Point CDP,IFC001,593,Browns Point CDP,593
G53008465,Brush Prairie CDP,IFC001,964,Brush Prairie CDP,964
G53008500,Bryant CDP,IFC001,677,Bryant CDP,677
